1	-13	17486	-7571	false
2	-11	13696	-9377	false
3	-12	7863	-26166	false
4	-15	7330	-6668	false
5	-15	5761	-19528	false
6	-15	8993	-28237	false
7	-15	12075	-29718	false
8	-12	20889	-12874	false
9	-12	2949	-3113	false
10	-11	14622	-22333	false
11	-11	13434	-22887	false
12	-12	10314	-1930	false
13	-15	7926	-22145	false
14	-14	3427	-5052	false
15	-13	15206	-7222	false
16	-14	2679	-6303	false
17	-13	19232	-2295	false
18	-12	18533	-28226	false
19	-14	26873	-5763	false
20	-13	26663	-9852	false
21	-13	17172	-1775	false
22	-13	10989	-15520	false
23	-12	19202	-15893	false
24	-14	10252	-1924	false
25	-14	7901	-21002	false
26	-13	25921	-22722	false
27	-15	1141	-10987	false
28	-11	1334	-29810	false
29	-14	16258	-4215	false
30	-13	14579	-17841	false
31	-11	26220	-20997	false
32	-14	15514	-16309	false
33	-15	927	-1538	false
34	-14	8151	-2705	false
35	-11	23100	-6404	false
36	-13	26887	-26992	false
37	-12	4982	-26354	false
38	-11	6435	-2093	false
39	-12	1237	-17103	false
40	-12	25007	-27312	false
41	-13	26985	-21216	false
42	-15	27150	-3081	false
43	-13	1153	-24048	false
44	-15	27178	-25719	false
45	-15	27194	-26034	false
46	-11	22015	-11297	false
47	-13	6795	-17785	false
48	-13	29907	-23882	false
49	-12	2898	-25007	false
50	-15	28239	-7039	false
51	-13	3902	-20750	false
52	-11	8119	-2860	false
53	-12	28599	-25326	false
54	-11	7638	-1793	false
55	-13	22196	-2027	false
56	-13	27913	-20234	false
57	-12	28808	-26671	false
58	-11	7174	-23285	false
59	-11	19780	-6340	false
60	-13	3391	-13127	false
61	-12	3395	-27363	false
62	-14	27665	-2938	false
63	-13	20150	-18076	false
64	-11	11117	-6914	false
65	-11	6804	-12420	false
66	-15	14453	-12198	false
67	-13	22937	-9484	false
68	-13	21751	-15159	false
69	-15	20625	-28237	false
70	-11	16687	-25141	false
71	-13	22479	-14971	false
72	-12	2743	-7105	false
73	-11	28546	-2803	false
74	-13	19592	-10346	false
75	-12	11886	-21598	false
76	-12	21184	-13758	false
77	-12	10643	-28583	false
78	-14	18970	-24088	false
79	-15	12715	-27713	false
80	-11	1909	-14637	false
81	-12	8736	-5938	false
82	-14	22959	-5103	false
83	-13	5557	-14278	false
84	-11	7962	-3979	false
85	-12	17560	-3608	false
86	-11	10559	-18904	false
87	-12	6045	-14398	false
88	-12	27902	-16979	false
89	-13	16952	-10713	false
90	-15	12077	-26582	false
91	-12	25793	-2295	false
92	-14	5162	-15340	false
93	-15	20264	-20554	false
